"Date","volume","carbon_day"
2013-02-04,"5",5.87750475610306
2013-02-04,"10",6.45009442022755
2013-02-04,"15",7.27565329501377
2013-02-04,"20",7.57877386627482
2013-02-04,"25",7.68160011448355
2013-02-04,"35",7.27159476267585
2013-02-04,"1000",9.62572194586685
2013-02-05,"5",6.57669946907208
2013-02-05,"10",7.24708925703698
2013-02-05,"15",8.13812590805981
2013-02-05,"20",8.43082894194768
2013-02-05,"25",8.54226681483771
2013-02-05,"35",8.08962666128817
2013-02-05,"1000",10.7498444654168
2013-02-06,"5",6.97871925575018
2013-02-06,"10",7.6825354679059
2013-02-06,"15",8.67091585769495
2013-02-06,"20",8.95733596435123
2013-02-06,"25",9.0491099846592
2013-02-06,"35",8.56505529276532
2013-02-06,"1000",11.3584384661135
2013-02-07,"5",6.82884292685008
2013-02-07,"10",7.50807423709727
2013-02-07,"15",8.49717578405392
2013-02-07,"20",8.77377788496833
2013-02-07,"25",8.87687351217709
2013-02-07,"35",8.37924417900396
2013-02-07,"1000",11.1475351915958
2013-02-08,"5",5.88965283484827
2013-02-08,"10",6.44813114333798
2013-02-08,"15",7.37442424903698
2013-02-08,"20",7.62750889773413
2013-02-08,"25",7.74185265825663
2013-02-08,"35",7.27313871002779
2013-02-08,"1000",9.66948125913418
2013-02-09,"5",5.47485531823135
2013-02-09,"10",5.95158941677304
2013-02-09,"15",6.83722064281287
2013-02-09,"20",7.09585908483605
2013-02-09,"25",7.20886816116871
2013-02-09,"35",6.76936721834705
2013-02-09,"1000",8.99051573206595
2013-02-10,"5",5.04033411943365
2013-02-10,"10",5.54927495167035
2013-02-10,"15",6.29644600123902
2013-02-10,"20",6.46332866566388
2013-02-10,"25",6.59526277278087
2013-02-10,"35",6.19800267049846
2013-02-10,"1000",8.25559100315935
2013-02-11,"5",3.25840214154412
2013-02-11,"10",3.53869135813058
2013-02-11,"15",4.08484777787588
2013-02-11,"20",4.2725585913479
2013-02-11,"25",4.37610738829888
2013-02-11,"35",4.088214800001
2013-02-11,"1000",5.42546438690268
2013-02-12,"5",2.67186645584802
2013-02-12,"10",2.89031875025704
2013-02-12,"15",3.3272642428754
2013-02-12,"20",3.48496105298741
2013-02-12,"25",3.57765808521648
2013-02-12,"35",3.34285179577484
2013-02-12,"1000",4.44693627014987
2013-02-13,"5",5.42728225242319
2013-02-13,"10",5.92382210749613
2013-02-13,"15",6.67759248044144
2013-02-13,"20",6.96809531846079
2013-02-13,"25",7.05271728392322
2013-02-13,"35",6.68536911300931
2013-02-13,"1000",8.84624814363427
2013-02-14,"5",6.21657464579642
2013-02-14,"10",6.87757929584337
2013-02-14,"15",7.71078012167607
2013-02-14,"20",7.98463997723536
2013-02-14,"25",8.08724652415095
2013-02-14,"35",7.64997958441904
2013-02-14,"1000",10.1587306126154
