"Date","volume","Rd_daily"
2013-02-12,5,0.00982687212645821
2013-02-12,10,0.0115700150120388
2013-02-12,15,0.0118845351127378
2013-02-12,20,0.0119774775085304
2013-02-12,25,0.00768003785840391
2013-02-12,35,0.00928583206374351
2013-02-12,1000,0.0099750028807071
2013-02-13,5,0.0108451628179784
2013-02-13,10,0.0127689355267148
2013-02-13,15,0.0131160471668901
2013-02-13,20,0.0132186205393825
2013-02-13,25,0.00847586698501677
2013-02-13,35,0.01024805852114
2013-02-13,1000,0.0110086433362456
2013-02-14,5,0.0110180526629261
2013-02-14,10,0.0129724934926405
2013-02-14,15,0.0133251386668583
2013-02-14,20,0.0134293472286756
2013-02-14,25,0.0086109863330092
2013-02-14,35,0.0104114295353398
2013-02-14,1000,0.0111841393312281
2013-02-15,5,0.0104308924937808
