"Date","volume","stemmass","stemmass_SE"
2013-02-03,1000,0.707445812651217,0.033759649915499
2013-02-11,1000,0.914010227891577,0.0536862306358009
2013-02-18,1000,1.09100612201326,0.0740111378128657
2013-02-25,1000,1.57516624542625,0.121028055722563
2013-03-04,1000,2.40970336130917,0.201649339089404
2013-03-11,1000,3.40015912850995,0.32473570478154
2013-03-18,1000,4.60316799906631,0.450464343982284
2013-03-25,1000,6.56728376540929,0.671759314927101
2013-04-02,1000,8.51567670085146,0.846603468185588
2013-04-08,1000,10.4566730895164,1.04040508208685
2013-04-15,1000,12.72374379483,1.44494518066818
2013-04-22,1000,14.1630982954547,1.51003958560976
2013-04-29,1000,15.8606124918479,1.71773698188879
2013-05-06,1000,17.910371139695,2.03645875542137
2013-05-13,1000,20.1011746483838,2.1888914816119
