"Date","volume","leafmass","leafmass_SE"
2013-05-06,25,3.04809182608696,0.299236086166159
2013-05-06,35,6.0830044549154,0.658481605213994
2013-05-06,5,1.24949068322981,0.146069628160213
2013-05-13,10,1.68011594202899,0.0811165349834876
2013-05-13,1000,23.1197836820841,1.16670787212082
2013-05-13,15,2.35910161490683,0.201340136517603
2013-05-13,20,2.15973319941853,0.227674623141552
2013-05-13,25,3.20637026583851,0.318460037941019
2013-05-13,35,6.11325368173056,0.608612680425774
2013-05-13,5,1.16619130434783,0.129174802084932
2013-05-21,10,1.64754285714286,0.0708174945818667
2013-05-21,1000,24.6266230235784,1.23862360989308
2013-05-21,15,2.48287346938775,0.169960568777746
2013-05-21,20,2.28946869300912,0.281846671404185
2013-05-21,25,3.206592,0.306984551382946
2013-05-21,35,6.15972413793103,0.649068325613426
