"Date","volume","carbon_day"
2013-02-11,"1000",6.114283234355
2013-02-12,"5",3.1069809047614
2013-02-12,"10",3.47065191881588
2013-02-12,"15",3.74065518432948
2013-02-12,"20",3.90550239957765
2013-02-12,"25",3.92950119126431
2013-02-12,"35",3.7603145006666
2013-02-12,"1000",5.00456833130735
2013-02-13,"5",5.95902889229698
2013-02-13,"10",6.66131290690573
2013-02-13,"15",7.20078125114069
2013-02-13,"20",7.48855313956313
2013-02-13,"25",7.49585434295676
2013-02-13,"35",7.19027728390691
2013-02-13,"1000",9.54620823446096
2013-02-14,"5",6.80245959197026
2013-02-14,"10",7.60852885237398
2013-02-14,"15",8.23001096102619
2013-02-14,"20",8.54609515960063
2013-02-14,"25",8.54253564139532
2013-02-14,"35",8.19656587946652
2013-02-14,"1000",10.879280975147
